,date,type,registration,operator,fat.,location,Unnamed: 6,pic,cat,url
129,02-SEP-2011,Cessna 208B Grand Caravan,N207DR,Grant Aviation,1,"near Nightmute, AK",,,A1,https://aviation-safety.net/database/record.php?id=20110902-0
130,02-SEP-2011,CASA C-212 Aviocar 300DF,966,Chilean AF,21,near Isla Robinsó...,,,A1,https://aviation-safety.net/database/record.php?id=20110902-1
131,03-SEP-2011,Antonov An-2R,UR-17739,Unikom-Avia,1,"near Kostyukivka,...",,,A1,https://aviation-safety.net/database/record.php?id=20110903-0
132,04-SEP-2011,Embraer EMB-145LR (ERJ-145LR),N840HK,"United Express, opb Trans States Airlines",0,Ottawa/Macdo...,,,A1,https://aviation-safety.net/database/record.php?id=20110904-0
133,06-SEP-2011,Swearingen SA227-BC Metro III,CP-2548,Aerocon,8,near Trinidad Air...,,,A1,https://aviation-safety.net/database/record.php?id=20110906-0
134,07-SEP-2011,Yakovlev Yak-42D,RA-42434,YAK Service,44,near Yaroslavl-Tu...,,,A1,https://aviation-safety.net/database/record.php?id=20110907-0
135,09-SEP-2011,Cessna 208B Grand Caravan,PK-VVE,Susi Air,2,near Notnare Vill...,,,A1,https://aviation-safety.net/database/record.php?id=20110909-0
136,09-SEP-2011,Antonov An-2TD,D-FONC,Classic Wings,0,Bruchsal Air...,,,O1,https://aviation-safety.net/database/record.php?id=20110909-1
137,12-SEP-2011,Airbus A321-211,F-GTAT,Air France,0,Paris-Charle...,,,A2,https://aviation-safety.net/database/record.php?id=20110912-0
138,14-SEP-2011,Embraer EMB-120ER Brasilia,T-500,Angolan AF,17,Huambo Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20110914-0
139,16-SEP-2011,Embraer ERJ-190,HC-CEZ,TAME Ecuador,0,Quito-Marisc...,,,A1,https://aviation-safety.net/database/record.php?id=20110916-0
140,17-SEP-2011,Learjet 35,N535LC,private,0,Valencia-Art...,,,A1,https://aviation-safety.net/database/record.php?id=20110917-0
141,20-SEP-2011,Beech 99A,HH-APA,SALSA d'Haiti,3,near Milot,,,A1,https://aviation-safety.net/database/record.php?id=20110920-0
142,22-SEP-2011,DHC-6 Twin Otter 300,C-GARW,Arctic Sunwest Charters,2,"Yellowknife, NT",,,A1,https://aviation-safety.net/database/record.php?id=20110922-0
143,23-SEP-2011,DHC-3T Texas Turbine Otter,N361TT,Servant Air,1,near Heitman Lake...,,,A1,https://aviation-safety.net/database/record.php?id=20110923-0
144,25-SEP-2011,Beech 1900D,9N-AEK,Buddha Air,19,near Kathmandu-Tr...,,,A1,https://aviation-safety.net/database/record.php?id=20110925-0
145,26-SEP-2011,DC-9-51,YV136T,Aeropostal,0,Puerto Ordaz...,,,A1,https://aviation-safety.net/database/record.php?id=20110926-0
146,29-SEP-2011,CASA/Nurtanio NC-212 Aviocar,PK-TLF,Nusantara Buana Air,18,near Kutacane-Ala...,,,A1,https://aviation-safety.net/database/record.php?id=20110929-0
147,??-SEP-2011,DHC-6 Twin Otter 300,5A-DBJ,Zueitina Oil,0,As Sidr Airport,,,O2,https://aviation-safety.net/database/record.php?id=20110999-0
148,02-OCT-2011,Fokker 50,ST-ASD,Sudan Airways,0,Khartoum-Civ...,,,A1,https://aviation-safety.net/database/record.php?id=20111002-0
149,03-OCT-2011,Dassault Falcon 20F,XA-NCC,Aerotaxis Dos Mil,0,Atlanta-Newn...,,,A1,https://aviation-safety.net/database/record.php?id=20111003-0
150,04-OCT-2011,Cessna 208B Grand Caravan,C-GATV,Air Tindi,2,Utsingi Poin...,,,A1,https://aviation-safety.net/database/record.php?id=20111004-0
151,07-OCT-2011,Cessna 550 Citation II,PT-LJJ,Agência Marítima Universal,0,Manhuaçu-Aer...,,,A1,https://aviation-safety.net/database/record.php?id=20111007-0
152,09-OCT-2011,Antonov An-2R,RA-81514,private,0,"near Zasovkaya, K...",,,A1,https://aviation-safety.net/database/record.php?id=20111009-0
153,10-OCT-2011,Boeing 737-4Q8,TC-SKF,Sky Airlines,0,Antalya Airp...,,,A1,https://aviation-safety.net/database/record.php?id=20111010-0
154,12-OCT-2011,Embraer EMB-120ER Brasilia,ZS-PYO,Nationale et Regionale Transport,0,Port Gentil ...,,,A1,https://aviation-safety.net/database/record.php?id=20111012-0
155,13-OCT-2011,DHC-8-102,P2-MCJ,Airlines PNG,28,near Madang Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20111013-0
156,14-OCT-2011,Cessna 208B Grand Caravan,A2-AKD,Moremi Air,8,Xakanaka Air...,,,A1,https://aviation-safety.net/database/record.php?id=20111014-0
157,14-OCT-2011,Cessna 550 Citation II,VT-CLC,Club One Air,0,Surat Gujara...,,,A2,https://aviation-safety.net/database/record.php?id=20111014-1
